City Key;WWI City ID;City;State Province;Country;Continent;Sales Territory;Region;Subregion;Location;Latest Recorded Population;Valid From;Valid To;Lineage Key
13;5462;Carrothers;Ohio;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CA3A0CA1FC27F44409928E73004BB54C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
14;5463;Carrsville;Virginia;United States;North America;Southeast;Americas;Northern America;0xE6100000010CE59D9ED21C5B424005ED1F55DE3453C0;359;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
15;5464;Carrsville;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010CA4BB35FAE2B24240B515A012FC1756C0;50;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
16;5465;Carsins;Maryland;United States;North America;Mideast;Americas;Northern America;0xE6100000010CFF4EA445C7C44340357804DC980D53C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
17;5466;Carson;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010C937D46D8A62E424086973B8EFA705AC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
18;5467;Carson;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C345A58816BEA4040AC1BEF8E0C925DC0;91714;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
19;5468;Carson;Washington;United States;North America;Far West;Americas;Northern America;0xE6100000010C8B98C8BBD9DC4640CDFBA47F6E745EC0;2279;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
20;5469;Carson;North Dakota;United States;North America;Plains;Americas;Northern America;0xE6100000010C0F67D9EE793547404B89C9C0266459C0;293;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
21;5470;Carson;Iowa;United States;North America;Plains;Americas;Northern America;0xE6100000010CCE5FD7E54A9E44402C595F6EC1DA57C0;812;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
22;5471;Carson City;Nevada;United States;North America;Far West;Americas;Northern America;0xE6100000010C8D919158F7944340B67526231DF15DC0;55274;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
23;5472;Carson City;Michigan;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C9F115B30A7964540EA40D6532B3655C0;1093;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
24;5473;Carsonville;Michigan;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C937D46D8A6B6454034ED07E1F6AA54C0;527;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
25;5474;Carsonville;Georgia;United States;North America;Southeast;Americas;Northern America;0xE6100000010C1C17C4F6495B404090C99871891255C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
26;5475;Carta Valley;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CABC2B00D26CB3D403556AC2B302B59C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
27;5476;Cartago;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C168156050F294240936FB6B9B1815DC0;92;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
28;5477;Carter;Wyoming;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010C67C6EC7607B84440CE609D746C9B5BC0;10;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
29;5478;Carter;Montana;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010CB0D1CD59FAE347400F9C33A234BD5BC0;58;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
30;5479;Carter;Tennessee;United States;North America;Southeast;Americas;Northern America;0xE6100000010C08E8BE9CD93442402E5F4D54258554C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
31;5480;Carter;Wisconsin;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CD9E32ABB05B246409A66704A2F2856C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
32;5481;Carter;Mississippi;United States;North America;Southeast;Americas;Northern America;0xE6100000010C4DD47723987E40407A3E5EA3C09C56C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
33;5482;Carter;South Dakota;United States;North America;Plains;Americas;Northern America;0xE6100000010CE6DF788890B14540280EA0DFF70C59C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
34;5483;Carter;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010CA7C2E96EE8364340A146C60FBAC754C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
35;10198;El Cenizo;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C25B20FB22C5A3B40037AE1CE85DF58C0;3273;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
36;10199;El Centro;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C4C37894160654040E43DBD0809E45CC0;42598;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
37;10200;El Cerrito;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C0746B98F37F54240EFAE0EDBF1935EC0;23549;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
38;10202;El Cerro;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010C76D146640E5D4140E30396B77EAD5AC0;2953;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
39;10203;El Combate;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010C8440D3B771FA31402C6C617193CD50C0;423;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
40;10204;El Dara;Illinois;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C5F1D119DAFCF434098A9A4A979BF56C0;78;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
41;10205;El Dorado;Arkansas;United States;North America;Southeast;Americas;Northern America;0xE6100000010C91D5AD9E939A404005590520A42A57C0;18884;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
42;10206;El Dorado;Kansas;United States;North America;Plains;Americas;Northern America;0xE6100000010CD47D00529BE8424071B9B0242F3758C0;13021;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
43;10207;El Dorado Hills;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C5F155E38C6574340DE73603942455EC0;42108;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
44;10208;El Dorado Springs;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010CEBDF9AE040F042407D3AC3795D8157C0;3593;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
45;10209;El Duende;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010CF59C99057F0942400CAF2479AE875AC0;707;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
46;10210;El Granada;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C0E4C6E1459C04240B9420E000B9E5EC0;5467;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
47;10211;El Indio;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CC3E457BD0D833C404727A666EA1359C0;190;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
48;10212;El Jebel;Colorado;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010C93B943D48EB24340D59E48E6C7C55AC0;3801;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
49;10213;El Lago;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C7DBBDBAB45903D40D883A4AAE4C257C0;2706;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
50;10214;El Mangó;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010CFDC1C073EF3B324033535A7F4B7850C0;1482;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
51;10215;El Mirage;Arizona;United States;North America;Southwest;Americas;Northern America;0xE6100000010C032FE9DE79CE40403BC9B150C6145CC0;31797;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
52;10216;El Monte;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C102A2790C80841405ABD1EA7C3815DC0;113475;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
53;10217;El Moro;Colorado;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010CC4190D2ABB9C4240A0CB8A97DD1D5AC0;221;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
54;10218;El Negro;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010C47BB1B5597093240265E54417B7650C0;1075;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
55;10219;El Nido;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C77E4FED9459142403C7A0D0B7F1F5EC0;330;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
56;10220;El Ojo;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010CF6775B8EFC00324022FE614B0F9950C0;1478;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
57;10221;El Paraiso;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010CF36ED16E99103240BA4BE2AC88A650C0;1716;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
58;10222;El Paso;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CE2D3F7753BC23F40509951E2299F5AC0;649121;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
59;10223;El Paso;Wisconsin;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C7A0CA0298562464021376854051657C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
60;10224;El Paso;Illinois;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C7912222A9E5E4440DB2626B90D4156C0;2810;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
61;10225;El Paso;Arkansas;United States;North America;Southeast;Americas;Northern America;0xE6100000010CE6EECE3527904140B64D4C721B0657C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
62;10226;El Paso de Robles;California;United States;North America;Far West;Americas;Northern America;0xE6100000010CC72C7B12D8D141405187156EF9295EC0;29793;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
63;10227;El Portal;California;United States;North America;Far West;Americas;Northern America;0xE6100000010CAE9921FA5AD64240A1E4C40D2EF25DC0;474;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
64;10228;El Portal;Florida;United States;North America;Southeast;Americas;Northern America;0xE6100000010C1B5AAEC8F9DA39409B70AFCC5B0C54C0;2325;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
65;10229;El Porvenir;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010C12B7AFA82DD94140AD8E77A27F585AC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
66;10230;El Prado;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010C2CB583B641374240A5BBEB6CC8645AC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
67;10231;El Rancho;Colorado;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010CFF40E9A695D943405A89B8BA35555AC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
68;1569;Austerlitz;New York;United States;North America;Mideast;Americas;Northern America;0xE6100000010C8434BE8AE72745400BE01C64485E52C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
69;4292;Brown Deer;Wisconsin;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C95850A69E894454017BC43E5BAFD55C0;11999;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
70;8028;Crofton;Maryland;United States;North America;Mideast;Americas;Northern America;0xE6100000010C71F03B3C3A804340DDE40176FF2B53C0;27348;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
71;5484;Carter;Oklahoma;United States;North America;Southwest;Americas;Northern America;0xE6100000010C77DE949A879C41401A09A42CE2E158C0;256;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
72;10232;El Rancho;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010CB3EE1F0BD1F141405E1F8C8E1A855AC0;1199;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
73;10233;El Refugio;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C6C5B94D920573A40C9586DFE5FB058C0;331;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
74;10234;El Reno;Oklahoma;United States;North America;Southwest;Americas;Northern America;0xE6100000010C993EF8E7A2C44140AB970531A57E58C0;16749;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
75;10235;El Rio;California;United States;North America;Far West;Americas;Northern America;0xE6100000010CF4F928232E1E4140A306D3307CCA5DC0;7198;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
76;10236;El Rito;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010CE902A8F3F22B424020370D9B128C5AC0;808;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
77;10237;El Sauz;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C27A3CA30EE923A40EC6415DBC9B758C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
78;10238;El Segundo;California;United States;North America;Far West;Americas;Northern America;0xE6100000010CFED1DCAFA7F54040047BA75DA79A5DC0;16654;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
79;10239;El Sobrante;California;United States;North America;Far West;Americas;Northern America;0xE6100000010CC1B80A1813FD4240A8CE5955E5925EC0;12669;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
80;10240;El Toro;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CBC47ECC9B2F23C4012F351EB222D58C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
81;10241;El Toro;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C27BBD05669D040404C7B8FA28A6C5DC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
82;10242;El Tumbao;Puerto Rico (US Territory);United States;North America;External;Americas;Northern America;0xE6100000010CE89FE06245013240416E75EF97B950C0;2511;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
83;10243;El Vado;New Mexico;United States;North America;Southwest;Americas;Northern America;0xE6100000010CC2BB010B054C42404291932EA2AE5AC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
84;10244;El Verano;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C1CA32BC71A26434034492C29779F5EC0;4123;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
85;10245;Elaine;Arkansas;United States;North America;Southeast;Americas;Northern America;0xE6100000010CC1AFECDD7A27414026BDB90988B656C0;636;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
86;10246;Eland;Wisconsin;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CA4236F6F6D6F46409C7BFE6AC44D56C0;202;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
87;10247;Elba;New York;United States;North America;Mideast;Americas;Northern America;0xE6100000010CBBC9B95EE48945407005B930F78B53C0;676;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
88;10248;Elba;Minnesota;United States;North America;Plains;Americas;Northern America;0xE6100000010CF89F466B560B4640F2E4E48F330157C0;152;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
89;10249;Elba;Alabama;United States;North America;Southeast;Americas;Northern America;0xE6100000010C8291F2EE236A3F403F694D98558455C0;3940;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
90;10250;Elba;Nebraska;United States;North America;Plains;Americas;Northern America;0xE6100000010CC9A42B7D8DA444407AC0E1AA57A458C0;215;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
91;1570;Austin;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010CF97C3958A469424095B2B1B7398155C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
92;1571;Austin;Montana;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010CB428A215CE514740F80379D1B20F5CC0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
93;1572;Austin;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C3E07962364443E4022BCE24E8E6F58C0;790390;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
94;1573;Austin;Nevada;United States;North America;Far West;Americas;Northern America;0xE6100000010C00FB8D1B23BF434007BD923F73445DC0;192;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
95;1574;Austin;Arkansas;United States;North America;Southeast;Americas;Northern America;0xE6100000010C8C53083FCC7F414047D15ED8F5FE56C0;2038;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
96;1575;Austin;Indiana;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C85CE6BEC1261434037B6E8AEB67355C0;4295;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
97;1576;Austin;Pennsylvania;United States;North America;Mideast;Americas;Northern America;0xE6100000010C69835D5ECAD04440D2020F67D98553C0;562;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
98;1577;Austin;Minnesota;United States;North America;Plains;Americas;Northern America;0xE6100000010CD545651E54D54540CFFE9B72603E57C0;24718;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
99;1578;Austinburg;Ohio;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C4E85D3DDD0E244405E7699ABB03654C0;516;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
100;1579;Austintown;Ohio;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C03D9A150058D4440AAE0A6F5ED3054C0;29677;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
101;1580;Austinville;Virginia;United States;North America;Southeast;Americas;Northern America;0xE6100000010C4D1E053EF56C424029ACF9965E3A54C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
102;1581;Austonio;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C2F9EE6898C2F3F402922C32ADEE857C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
103;1582;Austwell;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CB23C597BE9633C407E1B62BCE63558C0;147;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
104;1583;Autaugaville;Alabama;United States;North America;Southeast;Americas;Northern America;0xE6100000010C2893BF208E3740404348CCA2E6A955C0;870;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
105;1584;Autryville;North Carolina;United States;North America;Southeast;Americas;Northern America;0xE6100000010C3459EDABBC7F414061CDB7F41EA953C0;196;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
106;1585;Auvergne;Arkansas;United States;North America;Southeast;Americas;Northern America;0xE6100000010C3E99DAADC0C1414072D1DA7EC3CE56C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
107;1586;Auxier;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010C8069AC5857DE4240F7555E9786B054C0;669;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
108;1587;Auxvasse;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010C4897EDF95082434005662A696AF956C0;983;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
109;1588;Ava;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010C90696D1ADB7942402A920ABE442A57C0;2993;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
110;1589;Ava;Illinois;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C91A22996B6F1424085C08014AB5F56C0;654;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
111;1590;Ava;Ohio;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010C8E661B6E76EA43403FEDA64ACA6454C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
112;1591;Ava;New York;United States;North America;Mideast;Americas;Northern America;0xE6100000010CCCF09F6EA0B545400163C790ADDE52C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
113;1592;Avalon;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010CF8382E3E60D443400D3A7C2D435C57C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
114;1593;Avalon;Mississippi;United States;North America;Southeast;Americas;Northern America;0xE6100000010C84036BE6DAD34040CD2CF8237B8556C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
115;1594;Avalon;Wisconsin;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CD79AF749FF5045407F5072E2863756C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
116;1595;Avalon;New Jersey;United States;North America;Mideast;Americas;Northern America;0xE6100000010CD044D8F0F48C4340D4A46F2DEEAD52C0;1334;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
117;1596;Avalon;Pennsylvania;United States;North America;Mideast;Americas;Northern America;0xE6100000010C8C80AF8D1D404440C46AE2D3520454C0;4705;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
118;1597;Avalon;Georgia;United States;North America;Southeast;Americas;Northern America;0xE6100000010CBA0D0F0643404140190687727DCC54C0;213;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
119;1598;Avalon;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C992D5915E1AB4040563E1581FB945DC0;3728;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
120;1599;Avalon Beach;Florida;United States;North America;Southeast;Americas;Northern America;0xE6100000010C53ECC3D55C893E4000B5071074C655C0;679;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
121;1600;Avant;Oklahoma;United States;North America;Southwest;Americas;Northern America;0xE6100000010C8FA8C3572A3F42405240A50D810558C0;320;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
122;1601;Avard;Oklahoma;United States;North America;Southwest;Americas;Northern America;0xE6100000010C97BB5398F7594240C7C3574804B458C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
123;1602;Avawam;Kentucky;United States;North America;Southeast;Americas;Northern America;0xE6100000010CDA9722AFBD9C4240EB4669809CD154C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
124;1603;Avella;Pennsylvania;United States;North America;Mideast;Americas;Northern America;0xE6100000010C14CC9882352344401AB336D77A1D54C0;804;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
125;1604;Avenal;California;United States;North America;Far West;Americas;Northern America;0xE6100000010C97D75B1487004240D8124DFB41085EC0;15505;2013-01-01 00:00:00.0000000;2013-01-01 00:01:00.0000000;1
126;4293;Brownbranch;Missouri;United States;North America;Plains;Americas;Northern America;0xE6100000010C4B4A8B44B265424073F96AA22A3557C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:03:00.0000000;1
127;4294;Browndell;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010C8D124FD1EC1B3F401FEC5E38A17D57C0;197;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
128;4295;Brownell;Kansas;United States;North America;Plains;Americas;Northern America;0xE6100000010CD072EA14F55143407F541E38C2EF58C0;29;2013-01-01 00:00:00.0000000;2013-01-01 00:04:00.0000000;1
129;4296;Brownfield;Texas;United States;North America;Southwest;Americas;Northern America;0xE6100000010CDB3521AD31974040644CB0EE8E9159C0;9657;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
130;4297;Brownfield;Maine;United States;North America;New England;Americas;Northern America;0xE6100000010C37FDD98F14F8454092A8BCC227BA51C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
131;4298;Brownfield;Illinois;United States;North America;Great Lakes;Americas;Northern America;0xE6100000010CF3DC8CE43CAC42403EB901FAD82656C0;0;2013-01-01 00:00:00.0000000;2013-01-01 00:05:00.0000000;1
132;4299;Browning;Montana;United States;North America;Rocky Mountain;Americas;Northern America;0xE6100000010C64C9C111494748406CEC12D5DB405CC0;1016;2013-01-01 00:00:00.0000000;2013-01-01 00:02:00.0000000;1
